hostname,state,software,user_count,note_count,peer_count,discovered_at
follow.ethanmarcotte.com,up,mastodon,2,129,1191,1667870595
choeur.ulb.ac.be,up,wordpress,4,19,,1612578346
curious.simio.us,up,mastodon,3,61,3557,1667668050
fs.dnk.video,up,friendica,0,0,0,1644800754
mstdn.is,up,mastodon,1,4,360,1668671061
social.tbt.wtf,up,mastodon,4,10,122,1652067519
deconstructed.social,up,mastodon,3,88,3011,1668062104
tvitero.com,up,mastodon,52,6132,2512,1612578270
peertube.familleboisteau.fr,up,peertube,2,129,,1655572404
femby.club,up,akkoma,1,2,1757,1667773618
m.smto.pw,up,mastodon,1,4,4058,1667600528
norbertmarteau.fr,up,mastodon,13,1439,3,1612578346
unipar.online,up,mastodon,196,308,2515,1612578267
pixelfed.eus,up,pixelfed,232,1430,239,1612578345
not.acu.lt,up,misskey,5,1376,3885,1628027851
neos.social,up,mastodon,43,561,2386,1651104049
pleroma.chtisurel.net,up,pleroma,1,80,6701,1612578267
xabid.com,up,wordpress,1,10,,1651156879
mstdn.id,up,mastodon,161,747,3159,1612578269
mastodon.baronvonclack.com,up,mastodon,2,54,1589,1667666995
swj.io,up,mastodon,2,108,4586,1651251031
kirakiratter.com,up,mastodon,5536,2525421,9530,1612578265
elsie.photo,up,pixelfed,17,68,0,1628171836
wandern.social,up,mastodon,4,9,335,1668448368
social.brokenbydesign.org,up,akkoma,1,88,3350,1612578270
social.tenak.net,up,akkoma,2,47,2851,1667467355
suivez.moi.ovh,up,mastodon,1,40,1409,1651502551
gamedev.lgbt,up,mastodon,56,1623,5252,1667599573
elefant.onetwoxu.de,up,pleroma,3,1477,4143,1612578267
mast.ttk.is,up,mastodon,2,35,1050,1667823435
pleroma.manicphase.me,up,pleroma,2,195,4028,1654342498
bantu.social,up,mastodon,103,112143,6407,1612578270
m.phase.org,up,mastodon,2,194,3758,1667303346
iwatedon.net,up,mastodon,239,194248,6252,1612578268
spain.todon.de,up,mastodon,5,5,832,1668257985
petrous.vislae.town,up,hometown,17,4752,4934,1665092663
plerom.ator.cz,up,pleroma,1,747,628,1612578271
tv.santic-zombie.ru,up,peertube,4,369,,1647200052
ein.vampir.monster,up,mastodon,1,22,992,1668084397
social.dmcblue.com,up,gotosocial,2,19,112,1668378413
lastlight.cafe,up,mastodon,1,3,218,1652733657
dockerr.me,up,mastodon,2,53,1122,1667924376
friendica.jv-net.digital,up,friendica,0,0,0,1664054693
