"","user_group","date","instance_count","instance_perc","user_sum","user_perc","post_sum","post_perc","post_ratio","instance_diff","user_diff","post_diff","post_ratio_diff"
"1","0-1",2022-11-11,1777,0.273974714770274,1755,0.000366693759519934,2628577,0.00503858344463369,1497.76467236467,0,0,0,0
"2","1-10",2022-11-11,2902,0.447425223558434,11250,0.00235060102256368,7447080,0.0142749228951112,661.962666666667,0,0,0,0
"3","10-100",2022-11-11,1086,0.167437557816836,34868,0.00728540057375559,26727566,0.0512326903731389,766.535677411954,0,0,0,0
"4","100-1000",2022-11-11,438,0.0675300647548566,143524,0.0299882365477715,66557287,0.127580224736781,463.736288007581,0,0,0,0
"5","1000-10000",2022-11-11,221,0.0340733888374961,716787,0.149767133792031,172436929,0.330535440165107,240.569275112411,0,0,0,0
"6","10000+",2022-11-11,62,0.00955905026210299,3877826,0.810241934304358,245892244,0.471338138385229,63.4098188005341,0,0,0,0
"7","0-1",2022-11-12,1877,0.273575280571345,1855,0.000379105270687294,2622627,0.00500895804706781,1413.81509433962,100,100,-5950,-83.9495780250497
"8","1-10",2022-11-12,3104,0.45241218481271,12067,0.00246612576893994,7530184,0.0143819062881231,624.031159360239,202,817,83104,-37.931507306428
"9","10-100",2022-11-12,1140,0.166156536947967,36718,0.00750403629600867,26752662,0.0510949371013817,728.598017321205,54,1850,25096,-37.9376600907488
"10","100-1000",2022-11-12,452,0.0658796093863868,148018,0.0302503525372463,66647158,0.127289476688183,450.263873312705,14,4494,89871,-13.4724146948755
"11","1000-10000",2022-11-12,223,0.0325025506485935,727818,0.148743741186569,169970049,0.324625974146938,233.533725464333,2,11031,-2466880,-7.03554964807824
"12","10000+",2022-11-12,65,0.00947383763299811,3966624,0.810656638940549,250064656,0.477598747728306,63.0421880168123,3,88798,4172412,-0.367630783721829
"13","0-1",2022-11-13,1974,0.275045283544657,1952,0.000382184934825917,2697234,0.00507946111476337,1381.77971311475,97,97,74607,-32.0353812248686
"14","1-10",2022-11-13,3279,0.456876132088616,12705,0.00248753053123119,7509976,0.0141428704609263,591.103974813066,175,638,-20208,-32.9271845471729
"15","10-100",2022-11-13,1171,0.163160094747109,37943,0.00742891546214127,26713654,0.050307450790789,704.046965184619,31,1225,-39008,-24.5510521365859
"16","100-1000",2022-11-13,462,0.0643723004040685,152522,0.0298625054454501,66886721,0.125961818074934,438.538184655328,10,4504,239563,-11.7256886573768
"17","1000-10000",2022-11-13,222,0.030932144350007,719522,0.140876264690478,170086616,0.320309009938956,236.388346707953,-1,-8296,116567,2.85462124362022
"18","10000+",2022-11-13,69,0.00961404486554271,4182831,0.818962598935873,257113703,0.484199389619632,61.468824105014,4,216207,7049047,-1.57336391179824
"19","0-1",2022-11-14,2038,0.27705274605764,2017,0.000391740167312089,2680902,0.00504280368223975,1329.15319781854,64,65,-16332,-52.6265152962117
"20","1-10",2022-11-14,3369,0.457993474714519,13041,0.00253281285171887,7508021,0.0141226631727431,575.724330956215,90,336,-1955,-15.3796438568507
"21","10-100",2022-11-14,1183,0.160821098423056,37969,0.00737430957494929,26739904,0.0502980289297921,704.256209012615,12,26,26250,0.209243827996488
"22","100-1000",2022-11-14,476,0.0647090810222947,155661,0.0302323580485707,66842282,0.125731006131111,429.409306120351,14,3139,-44439,-9.1288785349771
"23","1000-10000",2022-11-14,221,0.0300435019032083,731161,0.142005519321802,170147157,0.320048517193924,232.708195595772,-1,11639,60541,-3.68015111218168
"24","10000+",2022-11-14,69,0.00938009787928222,4208972,0.817463260035647,257710996,0.48475698089019,61.2289642221426,0,26141,597293,-0.239859882871443
"25","0-1",2022-11-15,2123,0.281490320869796,2101,0.000404380785426432,2680486,0.00503011997338851,1275.81437410757,85,84,-416,-53.3388237109746
"26","1-10",2022-11-15,3444,0.456642800318218,13342,0.00256794309336481,7546302,0.014161164958676,565.605006745615,75,301,38281,-10.1193242105996
"27","10-100",2022-11-15,1202,0.159374171307346,38672,0.00744322405236125,26744721,0.0501883446825699,691.578428837402,19,703,4817,-12.6777801752138
"28","100-1000",2022-11-15,480,0.0636435958631663,157496,0.0303133537275209,67101932,0.125921481554523,426.054833138619,4,1835,259650,-3.35447298173187
"29","1000-10000",2022-11-15,224,0.0297003447361443,745262,0.143441043745109,170480996,0.319919545583438,228.753104277422,3,14101,333839,-3.95509131834976
"30","10000+",2022-11-15,69,0.00914876690533015,4238725,0.815830054596218,258332654,0.484779343247405,60.9458396097883,0,29753,621658,-0.283124612354278
"31","0-1",2022-11-16,2157,0.281262224540357,2133,0.000406574343348125,2596069,0.00486946621069667,1217.09751523676,34,32,-84417,-58.7168588708121
"32","1-10",2022-11-16,3519,0.458860346850958,13699,0.00261118702743834,7543330,0.0141490809955878,550.648222497993,75,357,-2972,-14.9567842476227
"33","10-100",2022-11-16,1210,0.15777806754466,38708,0.00737819019330485,26402178,0.0495227644796032,682.085822052289,8,36,-342543,-9.4926067851128
"34","100-1000",2022-11-16,489,0.0637632025035859,161956,0.0308706771454707,67146331,0.125946879677217,414.596131047939,9,4460,44399,-11.4587020906804
"35","1000-10000",2022-11-16,221,0.0288173164689008,717311,0.136727730333515,170090186,0.319039445214327,237.121954075708,-3,-27951,-390810,8.36884979828585
"36","10000+",2022-11-16,73,0.00951884209153736,4312466,0.822005640956923,259354058,0.486472363422568,60.1405455718375,4,73741,1021404,-0.805294037950773
"37","0-1",2022-11-17,2177,0.278317565839939,2151,0.000406893775565641,2592789,0.00485375624491097,1205.38772663877,20,18,-3280,-11.7097885979831
"38","1-10",2022-11-17,3628,0.463819994886218,14082,0.00266382061716195,7562690,0.0141575167959389,537.046584292004,109,383,19360,-13.6016382059886
"39","10-100",2022-11-17,1231,0.157376630017898,39402,0.00745347677584258,26431725,0.0494807523028366,670.821912593269,21,694,29547,-11.2639094590195
"40","100-1000",2022-11-17,490,0.0626438251086679,162597,0.0307576509649682,67111733,0.125634593927831,412.748900656224,1,641,-34598,-1.8472303917153
"41","1000-10000",2022-11-17,223,0.0285093326514958,726261,0.137383114986554,170404827,0.319001466457249,234.633041014181,2,8950,314641,-2.48891306152689
"42","10000+",2022-11-17,73,0.00933265149578113,4341899,0.821335042879908,260078191,0.486871914271234,59.899640917488,0,29433,724133,-0.240904654349599
"43","0-1",2022-11-18,2191,0.274767995986958,2167,0.000400054866777299,2568385,0.00479547712094452,1185.22611905861,14,16,-24404,-20.1616075801662
"44","1-10",2022-11-18,3696,0.463506395786305,14312,0.0026421713213275,7534461,0.0140677255723534,526.443613750699,68,230,-28229,-10.6029705413054
"45","10-100",2022-11-18,1285,0.161148733383496,41169,0.00760030401954527,26909356,0.0502429351663988,653.631518861279,54,1767,477631,-17.1903937319903
"46","100-1000",2022-11-18,496,0.0622021570102834,164262,0.0303247865835591,67289334,0.125637107240774,409.646381999489,6,1665,177601,-3.10251865673507
"47","1000-10000",2022-11-18,232,0.0290945573112616,754955,0.139373983363108,170272336,0.317918494157916,225.539715612189,9,28694,-132491,-9.09332540199205
"48","10000+",2022-11-18,74,0.00928016052169551,4439892,0.819658699845683,261011000,0.487338260741614,58.7876912321291,1,97993,932809,-1.11194968535888
"49","0-1",2022-11-19,2259,0.271090843633745,2236,0.000392509665726059,2650854,0.00493316918305959,1185.53398926655,68,69,82469,0.30787020794105
"50","1-10",2022-11-19,3868,0.464178567142686,14866,0.00260959243769392,7478440,0.0139171790469638,503.05663931118,172,554,-56021,-23.3869744395188
"51","10-100",2022-11-19,1379,0.165486619464779,44177,0.00775487455401616,26832159,0.0499339382303798,607.378477488286,94,3008,-77197,-46.2530413729934
"52","100-1000",2022-11-19,513,0.0615624624984999,174480,0.0306283928783018,67402018,0.12543337282009,386.302258138469,17,10218,112684,-23.34412386102
"53","1000-10000",2022-11-19,233,0.0279611184447378,756598,0.132813966041594,170011985,0.316387807534021,224.705834538288,1,1643,-260351,-0.833881073900329
"54","10000+",2022-11-19,81,0.00972038881555262,4704318,0.825800664422668,262977694,0.489394533185485,55.9013429789398,7,264426,1966694,-2.8863482531893
"55","0-1",2022-11-20,2349,0.270903010033445,2326,0.000400237802512069,2598648,0.00483086853474522,1117.21754084265,90,90,-52206,-68.3164484238991
"56","1-10",2022-11-20,4056,0.467766116941529,15499,0.00266693280358321,7548864,0.0140332856049265,487.054906768179,188,633,70424,-16.0017325430013
"57","10-100",2022-11-20,1424,0.164225579517933,45600,0.00784645047057194,26825351,0.0498681406944674,588.27524122807,45,1423,-6808,-19.1032362602156
"58","100-1000",2022-11-20,521,0.0600853419444124,174144,0.0299651813760368,67276206,0.125065998435509,386.325144707828,8,-336,-125812,0.0228865693594571
"59","1000-10000",2022-11-20,238,0.0274478145542613,753619,0.129676187657499,170002928,0.316034259233939,225.582062023383,5,-2979,-9057,0.876227485094688
"60","10000+",2022-11-20,83,0.00957213700841887,4820357,0.829445009889797,263673633,0.490167447496413,54.7000218033644,2,116039,695939,-1.20132117557542
"61","0-1",2022-11-21,2457,0.271102284011917,2436,0.00041071306937544,2585358,0.004786259291636,1061.31280788177,108,110,-13290,-55.904732960875
