"","date","instance_count","user_sum","post_sum","post_ratio","instance_diff","user_diff","post_diff","post_ratio_diff"
"1",2022-11-11,6486,4786010,521689683,109.003049095175,0,0,0,0
"2",2022-11-12,6861,4893100,523587336,107.005239214404,375,107090,1897653,-1.99780988077136
"3",2022-11-13,7177,5107475,531007904,103.96681413027,316,214375,7420568,-3.0384250841341
"4",2022-11-14,7356,5148821,531629262,103.252620745604,179,41346,621358,-0.714193384666146
"5",2022-11-15,7542,5195598,532887091,102.565112042926,186,46777,1257829,-0.687508702678144
"6",2022-11-16,7669,5246273,533132152,101.621122652214,127,50675,245061,-0.943989390711309
"7",2022-11-17,7822,5286392,534181955,101.048494890277,153,40119,1049803,-0.572627761937483
"8",2022-11-18,7974,5416757,535584872,98.8755581983833,152,130365,1402917,-2.1729366918935
"9",2022-11-19,8333,5696675,537353150,94.3275068351275,359,279918,1768278,-4.54805136325577
"10",2022-11-20,8671,5811545,537925630,92.561552908908,338,114870,572480,-1.76595392621947
"11",2022-11-21,9063,5931148,540162545,91.0721743918715,392,119603,2236915,-1.48937851703651
"12",2022-11-22,9309,5856368,535120933,91.3741986500848,246,-74780,-5041612,0.302024258213308
"13",2022-11-23,9590,5911317,536799712,90.8088184071333,281,54949,1678779,-0.565380242951534
"14",2022-11-24,9709,5931221,537705170,90.6567416725831,119,19904,905458,-0.152076734550207
"15",2022-11-25,9868,5960885,538775352,90.3851277117408,159,29664,1070182,-0.271613960842302
"16",2022-11-26,9976,5984579,539750543,90.1902277503564,108,23694,975191,-0.194899961384422
"17",2022-11-27,10060,6005147,540451224,89.9980007150533,84,20568,700681,-0.192227035303105
"18",2022-11-28,10215,6033510,541631206,89.7704994273648,155,28363,1179982,-0.227501287688426
"19",2022-11-29,10279,6048498,542410834,89.6769469048349,64,14988,779628,-0.0935525225299472
"20",2022-11-30,10500,6076313,543912055,89.5135018554837,221,27815,1501221,-0.163445049351154
"21",2022-12-01,10488,6086181,544701901,89.4981435813362,-12,9868,789846,-0.0153582741475873
"22",2022-12-02,10561,6095430,545422481,89.4805585496019,73,9249,720580,-0.0175850317342423
"23",2022-12-03,10621,6102616,546106146,89.4872208901887,60,7186,683665,0.00666234058682846
"24",2022-12-04,10658,6115050,547122843,89.4715240267864,37,12434,1016697,-0.0156968634023684
"25",2022-12-05,10717,6124951,547940442,89.4603796830375,59,9901,817599,-0.01114434374891
"26",2022-12-06,10827,6133877,550114601,89.6846482249318,110,8926,2174159,0.224268541894347
"27",2022-12-07,10782,6136870,550366602,89.6819717543308,-45,2993,252001,-0.00267647060101694
"28",2022-12-08,10819,6152779,551265594,89.5961961253606,37,15909,898992,-0.0857756289701967
"29",2022-12-09,10837,6149306,551197627,89.6357453995622,18,-3473,-67967,0.0395492742015762
"30",2022-12-10,10857,6157890,552043343,89.6481332079657,20,8584,845716,0.0123878084035454
"31",2022-12-11,10842,6164779,552674761,89.6503769234874,-15,6889,631418,0.00224371552172897
"32",2022-12-12,10873,6188173,554181591,89.5549608907185,31,23394,1506830,-0.0954160327689664
"33",2022-12-13,10880,6228848,558009189,89.5846533741071,7,40675,3827598,0.0296924833885868
"34",2022-12-14,10925,6235176,556953871,89.3244827411448,45,6328,-1055318,-0.2601706329623
"35",2022-12-15,10962,6254283,558640870,89.3213290796083,37,19107,1686999,-0.00315366153643026
"36",2022-12-16,10979,6308300,559490157,88.6911144048317,17,54017,849287,-0.63021467477661
"37",2022-12-17,11130,6388196,560736581,87.7769844569578,151,79896,1246424,-0.914129947873917
"38",2022-12-18,11446,6505633,563764520,86.6579040041146,316,117437,3027939,-1.11908045284322
